,cat_5,cat_8,cat_14,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_FAST FOOD LIMITED MENU,healthScore,googleRating
408,0,0,0,0,0,1,0,4,High
409,1,0,0,0,0,1,0,4,Low
410,1,1,0,0,0,0,1,4,Low
411,0,1,0,0,0,0,1,4,Low
412,1,0,0,0,0,1,0,4,Low
413,1,1,1,0,0,0,1,4,Low
414,1,0,0,0,0,0,1,4,Low
415,1,1,1,0,0,0,0,3,High
416,0,1,0,0,0,0,0,2,Low
417,1,0,0,0,0,0,0,3,Low
418,0,0,0,0,0,0,0,3,Low
419,1,1,0,0,0,0,0,4,High
420,0,1,1,0,0,0,1,3,Low
421,1,0,0,0,0,0,0,4,Low
422,1,1,1,0,0,0,0,3,Low
423,0,1,1,0,0,0,1,5,Low
424,1,0,0,0,0,0,1,5,Low
425,1,1,0,0,0,0,1,5,Low
426,0,0,0,0,0,0,0,4,High
427,1,0,1,0,0,0,0,4,High
428,0,1,1,0,0,0,0,5,Low
429,1,0,0,0,0,1,0,4,Low
430,1,1,1,0,0,0,1,3,High
431,0,0,0,0,0,0,0,4,High
432,1,0,1,0,0,1,0,3,Low
433,1,0,1,0,0,0,0,5,High
434,0,1,0,0,0,0,1,4,Low
435,0,1,0,0,0,0,1,5,Low
436,1,0,1,0,0,0,0,4,Low
437,1,0,0,0,0,0,0,4,Low
438,1,1,0,1,0,0,1,5,Low
439,1,0,0,0,0,0,1,5,Low
440,0,1,0,0,0,0,1,5,Low
441,0,0,0,0,0,0,0,5,Low
442,1,1,0,0,0,0,0,4,Low
443,1,0,0,0,0,0,0,3,Low
444,1,0,1,0,0,0,0,4,High
445,1,0,1,0,0,0,0,3,Low
446,0,0,0,0,0,0,1,5,High
447,0,1,0,0,0,0,0,3,High
448,0,0,0,0,0,0,0,5,Low
449,0,0,0,0,0,0,0,5,Low
450,1,0,1,0,0,0,0,4,Low
451,0,1,0,0,0,0,1,4,Low
452,0,1,0,0,0,0,0,4,High
453,1,1,0,0,0,1,0,4,Low
454,1,1,0,0,0,0,0,3,Low
455,0,0,0,0,0,0,1,5,Low
456,1,0,1,0,0,0,1,5,Low
457,1,1,0,0,0,0,0,4,Low
458,1,1,1,0,0,0,0,3,Low
459,1,0,0,0,0,0,1,4,Low
460,1,0,0,0,0,0,0,4,Low
461,0,0,0,0,0,0,0,3,Low
462,1,1,1,0,0,0,0,3,High
463,0,1,0,0,0,0,0,5,High
464,1,1,1,1,0,0,1,4,Low
465,1,1,1,0,0,0,0,2,Low
466,1,0,0,0,0,0,0,5,Low
467,0,0,0,0,0,1,0,3,Low
468,0,0,1,0,0,0,0,5,High
469,1,0,0,0,0,0,0,5,High
470,0,0,0,0,0,0,0,5,Low
471,1,0,0,0,0,0,0,5,High
472,0,1,0,0,0,0,1,4,Low
473,0,1,1,0,0,0,1,4,Low
