,healthScore,cat_1,cat_2,cat_3,cat_5,cat_6,cat_7,cat_8,cat_9,cat_10,cat_12,cat_13,cat_14,googleRating,typeOfFacility_GROCERY STORE 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI 0 TO 15000 SQ FT,typeOfFacility_GROCERY STORE W DELI MORE THAN 15000 SQ FT,typeOfFacility_LIMITED FOOD SERVICE CONVENIENCE OTHER,typeOfFacility_MOBILE UNIT FULL FOOD SERVICE,typeOfFacility_NO FEE LICENSE K12 SCHOOLS NON PROFIT,typeOfFacility_RESTAURANT 0 TO 100 SEATS,typeOfFacility_RESTAURANT 101 TO 200 SEATS,typeOfFacility_RESTAURANT MORE THAN 200 SEATS,categoryOfFacility_BARS FRATERNAL ORGANIZATIONS,categoryOfFacility_FAST FOOD LIMITED MENU,categoryOfFacility_FULL MENU LIMITED SERVICE,categoryOfFacility_FULL SERVICE FULL MENU,categoryOfFacility_MOBILE UNITS,categoryOfFacility_RETAIL COMMISSARY
144,5,0,1,1,0,0,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
145,3,5,5,4,3,7,0,2,1,0,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
146,3,0,3,2,3,2,1,2,1,1,2,1,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
147,4,1,3,0,0,1,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
148,4,1,2,2,0,0,1,0,1,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
149,4,2,4,2,1,1,0,1,1,1,1,0,1,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
150,4,0,1,2,0,1,0,2,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
151,4,1,0,0,1,0,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
152,4,2,3,1,0,0,0,1,0,1,1,0,1,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
153,3,3,3,2,1,0,0,1,1,1,0,1,1,Low,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
154,4,0,1,0,1,2,0,1,1,1,1,1,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
155,3,2,5,4,3,0,0,1,0,1,2,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
156,4,1,3,1,1,1,0,2,0,1,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
157,5,1,0,1,1,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
158,4,1,2,1,0,1,1,2,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
159,5,0,1,0,0,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
160,3,2,2,1,0,0,1,1,1,1,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
161,5,1,2,1,0,0,0,1,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
162,3,1,2,1,2,1,1,1,1,0,2,0,0,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
163,3,2,3,2,0,1,1,2,1,1,1,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
164,4,0,2,1,0,2,0,1,1,1,2,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
165,4,0,2,1,1,0,0,1,0,0,2,1,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
166,5,0,2,0,0,0,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
167,4,0,1,0,2,2,0,0,0,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
168,5,1,3,0,0,1,1,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
169,5,1,3,0,1,1,1,1,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
170,3,0,1,2,0,1,0,1,1,1,2,1,1,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
171,4,0,0,2,0,1,0,0,0,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
172,5,0,0,2,0,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
173,5,0,0,0,0,0,0,1,0,0,2,0,0,High,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
174,4,2,1,1,0,0,0,1,1,0,1,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
175,4,1,3,1,0,0,1,0,0,1,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
176,4,2,1,3,1,2,1,2,1,0,0,0,1,Low,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
177,5,0,1,0,1,0,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
178,4,0,0,2,0,2,1,2,0,0,0,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
179,3,2,4,3,1,2,2,1,1,2,0,0,1,High,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
180,4,2,1,2,0,3,2,0,2,1,0,1,2,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
181,3,0,6,5,1,2,0,4,1,0,2,1,0,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
182,4,2,2,2,1,0,1,2,1,0,1,0,0,High,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
183,4,1,0,2,2,2,0,2,0,1,0,0,0,Low,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
184,5,0,2,0,0,2,0,0,0,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
185,3,2,3,2,2,1,0,1,0,0,0,0,0,Low,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
186,5,0,2,0,0,1,0,1,0,0,2,0,0,High,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
187,2,1,1,2,0,2,1,3,2,0,3,0,2,Low,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
