facility_id,fc01,fc02,fc03,fc04,fc05,fc06,fc08,fc09,fc10,fc11,fc13,fc14,fc15,fc16,fc18,fc19,fc20,fc21,fc22,fc23,fc24,fc25,fc27,fc28,fc29,fc31,fc33,fc35,fc36,fc37,fc38,fc39,fc40,fc41,fc42,fc43,fc44,fc45,fc46,fc47,fc48,fc49,fc50,fc51,fc52,fc53,fc54,fc55,fc56,fc57
FA0000336,,,,,,,,,2,1,,,,,,,,,2,,,,,1,,,2,,2,,,,1,,,,,,,,1,,,1,,1,,,,
FA0000337,,,,,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
FA0000339,,,1,,,,1,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,1,,,,,,,,,,,1,,,,,,
FA0000340,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,,,,
FA0000342,,,,,,1,,,,,,,2,,,,,,2,,,1,,1,,,,,1,,,1,2,,,,,,,1,,,,3,,1,,1,1,
FA0000343,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,
FA0000346,,,,,,3,,,1,,,,,1,,,,,,,,,,1,,,,,1,,,,2,,,,1,,,1,,,,,,,,,,
FA0000347,,,,,1,,,,,,,,2,2,,,,,,,,,,,,,,,2,,,,2,1,,,,,,,3,2,,1,,,,1,1,
FA0000350,,,,,1,3,1,2,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,2,,,3,,,,,,
FA0000351,,,,,1,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,2,,,,1,,
FA0000355,,,1,,,3,1,2,2,,,,,1,,,,,2,1,,,,1,,,1,,,,,,1,,,,,,,,,,,,,1,,,,
FA0000356,,,1,,,,,,,,,,1,,,,,1,2,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000359,,,,,,1,,,1,,1,,2,,,,,,1,,,,,1,,,1,,,,,2,1,1,,,,,1,,1,,2,2,,1,,1,,1
FA0000360,,,,,,,,,,,,,1,1,,,,,1,,,,,2,,,,,1,,,,,,,,,,,,,,,,,,,1,,
FA0000364,,,1,,,1,,,,,1,,1,,,,,,,,,,,2,,,,,1,,,,2,,,,,,,,,,,,,,,,,
FA0000365,,1,1,,1,3,,1,2,,,,1,,,,,1,2,,,1,,3,,,,,,,,1,,,,,,,1,1,,,,,,,,,,
FA0000371,,,,,1,,1,,3,,,,1,,,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,
FA0000372,,,,,,2,1,1,,,,1,,,,,,,1,,,,,1,2,,,,,,,,1,,,,,,,,,,,,1,1,,,,
FA0000375,,,1,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,
FA0000378,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FA0000384,,,,,,,,,,,,,1,,,,,,2,,,,,,,,1,,,,,,,,,,,,,1,,,,1,,,,,,
FA0000386,,,2,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,,,1,,1,,1,,
FA0000387,,,,,,4,,,2,,,,1,,,1,,,1,1,,,,2,,,1,,,,,,1,,,,,,,1,,,,,,,,1,1,
FA0000389,,,,,1,,,,1,,1,,,,,,,1,2,1,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,1,,
FA0000390,,1,,,1,,,,1,,,,,,,,,,2,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
FA0000391,,1,,,1,1,,,,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,2,,
FA0000392,,,1,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,
FA0000394,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,1,,
