city,facility_name,facility_name_plus,facility_id,rating,total_ratings,avg_inspection_score,avg_violations_count
BOULDER,YELLOW DELI THE,BOULDER - YELLOW DELI THE,FA0002631,4.5,550,15.00,1.5
BOULDER,YELLOWBELLY,BOULDER - YELLOWBELLY,FA0003529,4.1,275,38.67,4.0
BOULDER,YOU AND MEE NOODLE HOUSE,BOULDER - YOU AND MEE NOODLE HOUSE,FA0000157,4.1,169,39.75,4.0
BOULDER,YURIHANA,BOULDER - YURIHANA,FA0000773,3.9,233,97.00,8.666666666666666
BOULDER,ZEAL CART (MOBILE),BOULDER - ZEAL CART (MOBILE),FA0003851,4.2,419,26.70,2.333333333333333
BOULDER,ZODIAC SUBS,BOULDER - ZODIAC SUBS,FA0002882,4.7,93,31.00,4.0
BOULDER,ZOE MA MA,BOULDER - ZOE MA MA,FA0002874,4.2,834,37.21,4.0
ERIE,AFC SUSHI (INSIDE SAFEWAY #1667),ERIE - AFC SUSHI (INSIDE SAFEWAY #1667),FA0004750,5.0,1,27.00,4.0
ERIE,DAIRY QUEEN,ERIE - DAIRY QUEEN,FA0001234,4.2,101,7.33,1.0
ERIE,PAPA MURPHYS PIZZA,ERIE - PAPA MURPHYS PIZZA,FA0001220,4.2,74,37.22,3.0
ERIE,STARBUCKS COFFEE 13426,ERIE - STARBUCKS COFFEE 13426,FA0002719,4.1,189,1.00,1.0
ERIE,SUBWAY ERIE,ERIE - SUBWAY ERIE,FA0001167,4.1,67,25.10,2.5
ERIE,TACOS EL REY #2,ERIE - TACOS EL REY #2,FA0002873,4.5,186,22.75,3.0
GOLDEN,LAST STAND TAVERN,GOLDEN - LAST STAND TAVERN,FA0001291,4.3,352,30.00,2.0
GOLDEN,WONDERVU CAFE,GOLDEN - WONDERVU CAFE,FA0001286,4.1,480,67.00,5.0
LAFAYETTE,95A BISTRO & SUSHI,LAFAYETTE - 95A BISTRO & SUSHI,FA0001403,4.5,655,54.09,5.5
LAFAYETTE,ACREAGE STEM CIDER,LAFAYETTE - ACREAGE STEM CIDER,FA0005226,4.4,1576,5.00,2.0
LAFAYETTE,ARBYS #5009032,LAFAYETTE - ARBYS #5009032,FA0005010,3.9,535,18.33,1.5
LAFAYETTE,AYA YAY TACOS,LAFAYETTE - AYA YAY TACOS,FA0004635,4.7,1066,27.00,3.6666666666666665
LAFAYETTE,BASIL BOWL,LAFAYETTE - BASIL BOWL,FA0002867,4.7,62,11.00,2.0
LAFAYETTE,BEST PHO,LAFAYETTE - BEST PHO,FA0002385,4.3,55,13.64,2.0
LAFAYETTE,BIG DADDY BAGELS,LAFAYETTE - BIG DADDY BAGELS,FA0001380,4.4,307,28.56,4.5
LAFAYETTE,BIG DADDYS PIZZA,LAFAYETTE - BIG DADDYS PIZZA,FA0002670,4.0,38,15.33,2.5
LAFAYETTE,BREW,LAFAYETTE - BREW,FA0005440,4.8,486,25.00,1.0
LAFAYETTE,BREWING MARKET,LAFAYETTE - BREWING MARKET,FA0000064,4.2,295,25.73,3.5
LAFAYETTE,CANNON MINE COFFEE,LAFAYETTE - CANNON MINE COFFEE,FA0000147,4.5,379,20.76,4.25
LAFAYETTE,CASIAN SEAFOOD,LAFAYETTE - CASIAN SEAFOOD,FA0000834,4.5,121,52.70,5.0
LAFAYETTE,CHILIS GRILL AND BAR,LAFAYETTE - CHILIS GRILL AND BAR,FA0002612,3.9,957,5.00,1.0
LAFAYETTE,CHIPOTLE MEXICAN GRILL #2355,LAFAYETTE - CHIPOTLE MEXICAN GRILL #2355,FA0004659,3.8,692,10.00,1.0
LAFAYETTE,CHOCOLATERIE STAM,LAFAYETTE - CHOCOLATERIE STAM,FA0005101,4.9,317,10.00,1.0
LAFAYETTE,COLORADO WOK,LAFAYETTE - COLORADO WOK,FA0002434,3.9,408,39.64,3.6666666666666665
LAFAYETTE,COMMUNITY,LAFAYETTE - COMMUNITY,FA0005003,4.6,929,49.08,4.333333333333333
LAFAYETTE,COSMOS PIZZA,LAFAYETTE - COSMOS PIZZA,FA0004936,4.4,205,20.00,3.0
LAFAYETTE,COUSINS KITCHENS (MOBILE),LAFAYETTE - COUSINS KITCHENS (MOBILE),FA0005081,4.5,903,40.00,3.0
LAFAYETTE,CROSSING NUTRITION THE,LAFAYETTE - CROSSING NUTRITION THE,FA0005510,4.9,63,15.00,2.0
LAFAYETTE,CUGINI PIZZERIA,LAFAYETTE - CUGINI PIZZERIA,FA0002527,4.5,125,17.50,4.0
LAFAYETTE,DAIRY QUEEN,LAFAYETTE - DAIRY QUEEN,FA0003491,4.0,386,16.67,1.5
LAFAYETTE,DELICIOUS ZS,LAFAYETTE - DELICIOUS ZS,FA0002811,4.4,411,12.44,6.0
LAFAYETTE,DILLINGERS BAR AND GRILL,LAFAYETTE - DILLINGERS BAR AND GRILL,FA0000997,4.2,263,61.15,3.5
LAFAYETTE,DOS WAPOS,LAFAYETTE - DOS WAPOS,FA0000615,4.5,105,27.00,6.666666666666667
LAFAYETTE,EATS AND SWEETS,LAFAYETTE - EATS AND SWEETS,FA0002133,4.6,536,28.30,2.5
LAFAYETTE,EFRAINS,LAFAYETTE - EFRAINS,FA0000445,4.3,1351,45.00,4.0
LAFAYETTE,EINSTEIN BROS BAGELS #3631,LAFAYETTE - EINSTEIN BROS BAGELS #3631,FA0004648,3.6,383,1.00,1.0
LAFAYETTE,FIREHOUSE SUBS,LAFAYETTE - FIREHOUSE SUBS,FA0004652,4.3,284,10.67,1.5
LAFAYETTE,FRONT RANGE BREWING CO,LAFAYETTE - FRONT RANGE BREWING CO,FA0004757,4.7,201,50.00,4.0
LAFAYETTE,GHOST BOX PIZZA,LAFAYETTE - GHOST BOX PIZZA,FA0000800,4.5,119,70.48,7.0
LAFAYETTE,GOOD TIMES BURGERS AND FROZEN CUSTARD,LAFAYETTE - GOOD TIMES BURGERS AND FROZEN CUSTARD,FA0002108,3.8,197,39.36,2.6666666666666665
LAFAYETTE,GREAT OUTDOORS WATER PARK THE,LAFAYETTE - GREAT OUTDOORS WATER PARK THE,FA0005285,3.9,34,20.00,2.0
LAFAYETTE,INDIAN PEAKS GOLF COURSE AT LAFAYET,LAFAYETTE - INDIAN PEAKS GOLF COURSE AT LAFAYET,FA0000649,4.4,106,25.33,2.5
LAFAYETTE,JAX COFFEE GEAR (MOBILE INSIDE JAX LAFAYETTE OUTDOOR),LAFAYETTE - JAX COFFEE GEAR (MOBILE INSIDE JAX LAFAYETTE OUTDOOR),FA0004835,4.5,433,10.00,1.0
LAFAYETTE,JEANNOTS PATISSERIE & BISTRO,LAFAYETTE - JEANNOTS PATISSERIE & BISTRO,FA0004951,5.0,77,15.25,2.0
LAFAYETTE,JERSEY MIKES SUBS 22043,LAFAYETTE - JERSEY MIKES SUBS 22043,FA0001782,4.2,40,40.50,4.0
LAFAYETTE,MARTINOS PIZZERIA,LAFAYETTE - MARTINOS PIZZERIA,FA0001245,4.4,169,14.00,1.5
LAFAYETTE,MCDONALDS 26108,LAFAYETTE - MCDONALDS 26108,FA0001300,3.4,1037,4.50,3.0
LAFAYETTE,MENCHIES #052,LAFAYETTE - MENCHIES #052,FA0003543,4.1,127,5.00,1.0
LAFAYETTE,MICI,LAFAYETTE - MICI,FA0002076,4.6,235,12.20,2.0
LAFAYETTE,MONO MONO KFC,LAFAYETTE - MONO MONO KFC,FA0000108,4.6,266,20.62,2.0
LAFAYETTE,MORNING GLORY CAFE,LAFAYETTE - MORNING GLORY CAFE,FA0002868,4.5,807,78.00,5.25
LAFAYETTE,MUMTAZ MEDITERRANEAN CUISINE,LAFAYETTE - MUMTAZ MEDITERRANEAN CUISINE,FA0002694,4.6,512,25.00,2.0
